pruning_level,scenario,masking_mode,pruning_method,top1_specific_acc,top5_specific_acc,top10_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,coordinate error,superordinate error,domain error,domain collapse,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.0,joint,static,l1_unstructured,0.7030302882194519,0.9515151381492615,0.9818181991577148,0.896969696969697,0.9636363636363636,0.8067423940856543,1.2407426834106445,32,11,4,2,95,70,0.7473684210526316,0.6428571428571429,0.10451127819548867
0.025,joint,static,l1_unstructured,0.7030302882194519,0.9515151381492615,0.9818181991577148,0.896969696969697,0.9636363636363636,0.8063624037056639,1.2394241094589233,32,11,4,2,95,70,0.7473684210526316,0.6428571428571429,0.10451127819548867
0.05,joint,static,l1_unstructured,0.678787887096405,0.9515151381492615,0.9757575988769531,0.896969696969697,0.9636363636363636,0.7928939722559489,1.242542028427124,36,11,4,2,95,70,0.7263157894736842,0.6142857142857143,0.11203007518796992
0.075,joint,static,l1_unstructured,0.7030302882194519,0.9515151381492615,0.9878787994384766,0.8909090909090909,0.9636363636363636,0.8048544973544973,1.2370363473892212,31,12,4,2,95,70,0.7473684210526316,0.6428571428571429,0.10451127819548867
0.1,joint,static,l1_unstructured,0.7090908885002136,0.9575757384300232,0.9878787994384766,0.8909090909090909,0.9575757575757575,0.8130272792341757,1.2086607217788696,30,11,5,2,95,70,0.7789473684210526,0.6142857142857143,0.1646616541353383
0.125,joint,static,l1_unstructured,0.7030302882194519,0.9757575988769531,0.9939393997192383,0.896969696969697,0.9636363636363636,0.8168614718614717,1.2515500783920288,32,11,4,2,95,70,0.7578947368421053,0.6285714285714286,0.12932330827067673
0.15,joint,static,l1_unstructured,0.7212121486663818,0.9575757384300232,0.9939393997192383,0.896969696969697,0.9696969696969697,0.8281814481814482,1.3655236959457397,29,12,3,2,95,70,0.7473684210526316,0.6857142857142857,0.06165413533834585
0.175,joint,static,l1_unstructured,0.7151514887809753,0.9575757384300232,0.9939393997192383,0.896969696969697,0.9636363636363636,0.8218280204643841,1.40403413772583,30,11,4,2,95,70,0.7263157894736842,0.7,0.026315789473684292
0.2,joint,static,l1_unstructured,0.6848484873771667,0.939393937587738,0.9939393997192383,0.8848484848484849,0.9515151515151515,0.7952621452621451,1.5843160152435303,33,11,6,2,95,70,0.7052631578947368,0.6571428571428571,0.048120300751879674
0.225,joint,static,l1_unstructured,0.678787887096405,0.9575757384300232,0.9939393997192383,0.8787878787878788,0.9454545454545454,0.7890165726529362,1.649696707725525,33,11,7,2,95,70,0.7052631578947368,0.6428571428571429,0.06240601503759391
0.25,joint,static,l1_unstructured,0.5939394235610962,0.9151515364646912,0.9818181991577148,0.793939393939394,0.9272727272727272,0.7306588192951831,1.9180328845977783,33,22,10,2,95,70,0.5789473684210527,0.6142857142857143,-0.03533834586466167
0.275,joint,static,l1_unstructured,0.539393961429596,0.8303030133247375,0.9515151381492615,0.7333333333333333,0.9212121212121213,0.6707505086515781,2.2124266624450684,32,31,11,2,95,70,0.5578947368421052,0.5142857142857142,0.043609022556390986
0.3,joint,static,l1_unstructured,0.46666666865348816,0.739393949508667,0.903030276298523,0.6909090909090909,0.9151515151515152,0.5992252864980139,2.584908962249756,37,37,12,2,95,70,0.5157894736842106,0.4,0.11578947368421055
0.325,joint,static,l1_unstructured,0.39393940567970276,0.6969696879386902,0.8484848737716675,0.6181818181818182,0.9212121212121213,0.5368492610440588,2.995985269546509,37,50,11,2,95,70,0.4105263157894737,0.37142857142857144,0.03909774436090224
0.35,joint,static,l1_unstructured,0.260606050491333,0.6303030252456665,0.7333333492279053,0.4909090909090909,0.793939393939394,0.4249445273682005,3.299604654312134,38,50,18,16,95,70,0.2736842105263158,0.24285714285714285,0.030827067669172953
0.375,joint,static,l1_unstructured,0.1878787875175476,0.5151515007019043,0.6606060862541199,0.36363636363636365,0.696969696969697,0.3475012094775492,3.5649828910827637,29,55,32,18,95,70,0.2,0.17142857142857143,0.02857142857142858
0.4,joint,static,l1_unstructured,0.145454540848732,0.4060606062412262,0.6303030252456665,0.30303030303030304,0.6666666666666666,0.2900572050654372,3.8804657459259033,26,60,41,14,95,70,0.1368421052631579,0.15714285714285714,-0.020300751879699236
0.425,joint,static,l1_unstructured,0.12727272510528564,0.32121211290359497,0.4909090995788574,0.30303030303030304,0.696969696969697,0.23714375109124397,4.309113025665283,29,65,39,11,95,70,0.1368421052631579,0.11428571428571428,0.02255639097744362
0.45,joint,static,l1_unstructured,0.07878787815570831,0.23030303418636322,0.38181817531585693,0.18181818181818182,0.7757575757575758,0.18083889572116016,4.480451583862305,17,98,27,10,95,70,0.06315789473684211,0.1,-0.0368421052631579
0.475,joint,static,l1_unstructured,0.05454545468091965,0.2181818187236786,0.39393940567970276,0.17575757575757575,0.7757575757575758,0.16125300552234564,4.748044013977051,20,99,27,10,95,70,0.07368421052631578,0.02857142857142857,0.045112781954887216
0.5,joint,static,l1_unstructured,0.042424242943525314,0.17575757205486298,0.34545454382896423,0.10909090909090909,0.7636363636363637,0.1392824458863168,4.804269313812256,11,108,29,10,95,70,0.06315789473684211,0.014285714285714285,0.048872180451127824
0.525,joint,static,l1_unstructured,0.036363635212183,0.1818181872367859,0.30909091234207153,0.15757575757575756,0.7878787878787878,0.13491218605896022,4.924102783203125,20,104,25,10,95,70,0.06315789473684211,0.0,0.06315789473684211
0.55,joint,static,l1_unstructured,0.03030303120613098,0.15757575631141663,0.35757574439048767,0.1696969696969697,0.7696969696969697,0.12638164024308973,5.013916492462158,23,99,24,14,95,70,0.0,0.07142857142857142,-0.07142857142857142
0.575,joint,static,l1_unstructured,0.03030303120613098,0.16363635659217834,0.30909091234207153,0.1393939393939394,0.7878787878787878,0.12322370330049165,4.999038219451904,18,107,25,10,95,70,0.0,0.07142857142857142,-0.07142857142857142
0.6,joint,static,l1_unstructured,0.024242423474788666,0.1515151560306549,0.3030303120613098,0.08484848484848485,0.7757575757575758,0.11802798107420923,5.019720077514648,10,114,25,12,95,70,0.031578947368421054,0.014285714285714285,0.01729323308270677
0.625,joint,static,l1_unstructured,0.024242423474788666,0.16969697177410126,0.290909081697464,0.16363636363636364,0.6727272727272727,0.12513264047219694,5.032286643981934,23,84,14,40,95,70,0.042105263157894736,0.0,0.042105263157894736
0.65,joint,static,l1_unstructured,0.03030303120613098,0.15757575631141663,0.2969697117805481,0.18181818181818182,0.7878787878787878,0.12570008515686037,5.023046970367432,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.675,joint,static,l1_unstructured,0.03030303120613098,0.145454540848732,0.31515151262283325,0.18181818181818182,0.7878787878787878,0.12694618760208884,5.025111198425293,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.7,joint,static,l1_unstructured,0.03030303120613098,0.13939394056797028,0.2969697117805481,0.18181818181818182,0.7878787878787878,0.1237602030844831,5.028475761413574,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.725,joint,static,l1_unstructured,0.03030303120613098,0.13333334028720856,0.32121211290359497,0.18181818181818182,0.7878787878787878,0.12128570389638503,5.034673690795898,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.75,joint,static,l1_unstructured,0.036363635212183,0.13333334028720856,0.3030303120613098,0.12121212121212122,0.7878787878787878,0.1264662023373372,5.0347900390625,14,110,25,10,95,70,0.0,0.08571428571428572,-0.08571428571428572
