pruning_level,scenario,masking_mode,pruning_method,top1_specific_acc,top5_specific_acc,top10_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,coordinate error,superordinate error,domain error,domain collapse,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.0,joint,static,l1_unstructured,0.6727272868156433,0.9212121367454529,0.9575757384300232,0.8666666666666667,0.9333333333333333,0.7788565870822002,1.3080108165740967,32,11,4,7,95,70,0.6947368421052632,0.6428571428571429,0.0518796992481203
0.025,joint,static,l1_unstructured,0.6727272868156433,0.9212121367454529,0.9575757384300232,0.8666666666666667,0.9333333333333333,0.77850989673551,1.3071850538253784,32,11,4,7,95,70,0.6947368421052632,0.6428571428571429,0.0518796992481203
0.05,joint,static,l1_unstructured,0.6484848260879517,0.9212121367454529,0.9515151381492615,0.8666666666666667,0.9333333333333333,0.7650550627993925,1.3073989152908325,36,11,4,7,95,70,0.6736842105263158,0.6142857142857143,0.05939849624060145
0.075,joint,static,l1_unstructured,0.6727272868156433,0.9212121367454529,0.9636363387107849,0.8606060606060606,0.9333333333333333,0.7771003516190683,1.3008215427398682,31,12,4,7,95,70,0.6947368421052632,0.6428571428571429,0.0518796992481203
0.1,joint,static,l1_unstructured,0.678787887096405,0.9272727370262146,0.9696969985961914,0.8606060606060606,0.9272727272727272,0.7851343777886427,1.2719675302505493,30,11,5,7,95,70,0.7263157894736842,0.6142857142857143,0.11203007518796992
0.125,joint,static,l1_unstructured,0.6727272868156433,0.9454545378684998,0.9696969985961914,0.8666666666666667,0.9333333333333333,0.7889093314093314,1.3183954954147339,32,11,4,7,95,70,0.7052631578947368,0.6285714285714286,0.07669172932330826
0.15,joint,static,l1_unstructured,0.6909090876579285,0.9272727370262146,0.9636363387107849,0.8666666666666667,0.9393939393939394,0.7999950943970082,1.4375213384628296,29,12,3,7,95,70,0.6947368421052632,0.6857142857142857,0.009022556390977488
0.175,joint,static,l1_unstructured,0.6848484873771667,0.9272727370262146,0.9696969985961914,0.8666666666666667,0.9333333333333333,0.7937291748655384,1.4743976593017578,30,11,4,7,95,70,0.6736842105263158,0.7,-0.02631578947368418
0.2,joint,static,l1_unstructured,0.6545454263687134,0.9090909361839294,0.9757575988769531,0.8545454545454545,0.9212121212121213,0.7672567230749049,1.651532769203186,33,11,6,7,95,70,0.6526315789473685,0.6571428571428571,-0.004511278195488688
0.225,joint,static,l1_unstructured,0.6484848260879517,0.9333333373069763,0.9696969985961914,0.8484848484848485,0.9151515151515152,0.7612901015931318,1.7121179103851318,33,11,7,7,95,70,0.6526315789473685,0.6428571428571429,0.009774436090225547
